PackageName,URL,SPDX-License-Identifier,LicenseFile
assimp-5.0.1-rev7-multiplatform,https://www.assimp.org/index.php,BSD-3-Clause,assimp/LICENSE.txt
ASTCEncoder-2017_11_14-rev2-multiplatform,https://github.com/ARM-software/astc-encoder,Apache-2.0,ASTCEncoder/license.txt
AWSNativeSDK-1.7.167-rev3-windows,https://github.com/aws/aws-sdk-cpp,Apache-2.0,AWSNativeSDK/LICENSE
azslc-1.7.20-rev1-multiplatform,https://github.com/galibzon/azslc,LicenseRef-custom,azslc/LICENSE.TXT
Blast-1.1.7-rev1-multiplatform,https://github.com/NVIDIAGameWorks/Blast/tree/v1.1.7_rc2,LicenseRef-custom,Blast/license.txt
cityhash-1.1-multiplatform,http://code.google.com/p/cityhash/,MIT,cityhash/COPYING
civetweb-1.8-rev1-windows,https://github.com/civetweb/civetweb,LicenseRef-custom,civetweb/LICENSE.md
Crashpad-0.8.0-rev1-windows,https://chromium.googlesource.com/crashpad/crashpad/+/master/README.md,Apache-2.0,Crashpad/share/crashpad/copyright
d3dx12-headers-rev1-windows,https://github.com/microsoft/DirectX-Headers,MIT,d3dx12/license.txt
DirectXShaderCompilerDxc-2020.08.07-rev1-multiplatform,https://github.com/Microsoft/DirectXShaderCompiler,NCSA,DirectXShaderCompilerDxc/LICENSE.TXT
DirectXShaderCompilerDxcAz-5.0.0_az-rev1-multiplatform,https://github.com/galibzon/dxc-az,NCSA,DirectXShaderCompilerDxcAz/LICENSE.TXT
etc2comp-9cd0f9cae0-rev1-windows,https://github.com/google/etc2comp,Apache-2.0,etc2comp/LICENSE
expat-2.1.0-multiplatform,https://libexpat.github.io/,MIT,expat/COPYING
freetype-2.10.4.14-windows,https://www.freetype.org/license.html,FTL,FTL.txt
googlebenchmark-1.5.0-rev2-windows,https://github.com/google/benchmark,Apache-2.0,googlebenchmark/LICENSE
googletest-1.8.1-rev4-windows,https://github.com/google/googletest,LicenseRef-custom,googletest/LICENSE
ilmbase-2.3.0-rev4-multiplatform,https://github.com/AcademySoftwareFoundation/openexr/tree/master/IlmBase,BSD-3-Clause,ilmbase/LICENSE
ISPCTexComp-2021.3-rev1-windows,https://github.com/GameTechDev/ISPCTextureCompressor,MIT,ISPCTexComp/license.txt
libsamplerate-0.2.1-rev2-windows,http://libsndfile.github.io/libsamplerate/,BSD-2-Clause,libsamplerate/COPYING
Lua-5.3.5-rev5-windows,https://github.com/lua/lua,MIT,Lua/LICENSE.txt
lux_core-2.2-rev5-multiplatform,https://luxcorerender.org,Apache-2.0,COPYING.txt
lz4-r128-multiplatform,http://www.lz4.org/,BSD-2-Clause,lz4/lib/LICENSE
mcpp-2.7.2_az.1-rev1-multiplatform,https://sourceforge.net/projects/mcpp/files/mcpp/V.2.7.2,LicenseRef-custom,mcpp/LICENSE
md5-2.0-multiplatform,https://www.fourmilab.ch/md5/,LicenseRef-custom,md5/rfc1321.txt
mikkelsen-1.0.0.4-windows,https://github.com/mmikk/MikkTSpace,mikkelsen,LICENSE.txt
NvCloth-1.1.6-rev1-multiplatform,https://github.com/NVIDIAGameWorks/NvCloth,LicenseRef-custom,NvCloth/NvCloth/license.txt
openimageio-2.1.16.0-rev2-windows,https://openimageio.org/,BSD-3-Clause,LICENSE.md
OpenMesh-8.1-rev1-windows,https://www.openmesh.org,BSD-3-Clause,OpenMesh/LICENSE
OpenSSL-1.1.1b-rev2-windows,https://github.com/openssl/openssl,OpenSSL,OpenSSL/LICENSE
PhysX-4.1.0.25992954-rev1-windows,https://github.com/NVIDIAGameWorks/PhysX,LicenseRef-custom,license.txt
poly2tri-0.3.3-rev2-multiplatform,https://github.com/jhasse/poly2tri,BSD-3-Clause,poly2tri/LICENSE
PVRTexTool-4.24.0-rev4-multiplatform,https://www.imaginationtech.com/developers/powervr-sdk-tools/pvrtextool/,LicenseRef-custom,PVRTexTool/LICENSE_POWERVR_TOOLS.txt
python-3.7.10-rev1-multiplatform,https://python.org,PSF-2.0,python/LICENSE.txt
python-3.7.10-rev2-multiplatform,https://python.org,PSF-2.0,python/LICENSE.txt
pybind11-2.4.3-rev2-multiplatform,https://github.com/pybind/pybind11,BSD-3-Clause,pybind11/LICENSE
pyside2-qt-5.15.1-rev2-windows,https://download.qt.io/official_releases/QtForPython/pyside2,LicenseRef-custom,pyside2/LICENSES.txt
qt-5.15.2-rev2-windows,https://code.qt.io/cgit/qt/qt5.git/,LGPL-3.0-only,qt/LICENSE
RapidJSON-1.1.0-multiplatform,https://rapidjson.org/,MIT,RapidJSON/license.txt
RapidXML-1.13-multiplatform,http://rapidxml.sourceforge.net/,MIT,RapidXML/include/rapidxml/license.txt
SPIRVCross-2020.04.20-rev1-multiplatform,https://github.com/KhronosGroup/SPIRV-Cross,Apache-2.0,SPIRVCross/LICENSE
SQLite-3.32.2-rev3-multiplatform,https://www.sqlite.org/,Public Domain,SQLite/copyright.txt
squish-ccr-20150601-rev3-multiplatform,http://sjbrown.co.uk/?code=squish,MIT,squish-ccr/README
tiff-4.2.0.14-windows,http://www.simplesystems.org/libtiff/misc.html,TIFF,COPYRIGHT
v-hacd-2.0-rev1-multiplatform,https://github.com/kmammou/v-hacd,BSD-3-Clause,v-hacd/LICENSE
xxhash-0.7.4-rev1-multiplatform,https://github.com/Cyan4973/xxHash,BSD-2-Clause,xxhash/include/xxhash/LICENSE.txt
zlib-1.2.8-rev2-multiplatform,https://zlib.net,zlib,zlib/LICENSE
zstd-1.35-multiplatform,http://www.zstd.net/,BSD-3-Clause,zstd/LICENSE
